        Vehicle ID:	p1B3CC4FB0AN22533
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B3ES56C64D59525
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2016/4/16
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1B3ES56C65D17941
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2012/11/22
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1B3ES56C65D26581
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2006/4/19
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	c1B3ES56C74D64010
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2010/4/28
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	c1B3ES56C75D28742
        Make/Model:	Ford  F 250
   Last Inspection:	2013/2/6
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1B3ES56C82D65606
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/10/1
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B3ES56C83D13506
        Make/Model:	Ford  Explorer
   Last Inspection:	2017/9/10
    Current Status:	s

        Vehicle ID:	c1B3ES56C85D28750
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/11/25
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B3ES56C93D21841
        Make/Model:	Chevrolet Impala
   Last Inspection:	2015/3/17
    Current Status:	s

        Vehicle ID:	p1B3ES56C94D57328
        Make/Model:	Temsa TS45
   Last Inspection:	2016/7/6
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	p1B3ES56C95D16102
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2009/7/11
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1B3ES56C95D19779
        Make/Model:	Chevrolet Cargo Express
   Last Inspection:	2015/12/6
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	p1B3ES56C95D24397
        Make/Model:	Ford  Transit Connect
   Last Inspection:	2011/6/6
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1B3ES56CX3D22060
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/11/12
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B3ES56CX5D28201
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2008/4/12
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1B3ES66S75D19416
        Make/Model:	Dodge Ram 3500
   Last Inspection:	2006/3/25
    Current Status:	s
      Max. Payload:	2.04 tons

        Vehicle ID:	p1B3HB28AX9D15214
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2016/9/4
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B3HB28B08D57207
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/12/6
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B3HB28B08D57207
        Make/Model:	Dodge Demon
   Last Inspection:	2011/9/27
    Current Status:	s

        Vehicle ID:	c1B3HB28B18D72080
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2014/3/2
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	i1B3HB28B58D65956
        Make/Model:	Ford  Mustang
   Last Inspection:	2006/6/26
    Current Status:	s

        Vehicle ID:	c1B3HB28B77D15012
        Make/Model:	Ford  F 250
   Last Inspection:	2011/8/9
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1B3HB28B97D29822
        Make/Model:	Ford  F 150
   Last Inspection:	2016/7/22
    Current Status:	s
      Max. Payload:	3.04 tons

        Vehicle ID:	c1B3HB28B97D55535
        Make/Model:	Chevrolet Silverado 2500
   Last Inspection:	2012/1/17
    Current Status:	s
      Max. Payload:	1.62 tons

        Vehicle ID:	p1B3HB28B98D62972
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/1/15
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B3HB28B98D63006
        Make/Model:	Ford  Mustang
   Last Inspection:	2016/9/16
    Current Status:	s

        Vehicle ID:	i1B3HB38B67D32139
        Make/Model:	Dodge Demon
   Last Inspection:	2010/6/21
    Current Status:	a

        Vehicle ID:	i1B3HB48A29D16274
        Make/Model:	Dodge Demon
   Last Inspection:	2016/8/12
    Current Status:	s

        Vehicle ID:	i1B3HB48A39D12586
        Make/Model:	Dodge Demon
   Last Inspection:	2016/12/17
    Current Status:	s

        Vehicle ID:	c1B3HB48A39D14452
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2007/11/25
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	c1B3HB48A49D11698
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/11/26
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1B3HB48A49D14243
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2006/5/6
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	i1B3HB48A79D14765
        Make/Model:	Dodge Charger
   Last Inspection:	2017/12/13
    Current Status:	a

        Vehicle ID:	c1B3HB48A89D12572
        Make/Model:	Ford  F 250
   Last Inspection:	2012/7/27
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1B3HB48A89D18073
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2015/4/19
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1B3HB48A89D18465
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2016/7/1
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	i1B3HB48AX9D24070
        Make/Model:	Chevrolet Impala
   Last Inspection:	2015/5/2
    Current Status:	s

        Vehicle ID:	i1B3HB48B27D11502
        Make/Model:	Ford  Mustang
   Last Inspection:	2008/9/26
    Current Status:	s

        Vehicle ID:	p1B3HB48B27D26290
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2015/1/15
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B3HB48B38D59157
        Make/Model:	Ford  Focus
   Last Inspection:	2016/7/9
    Current Status:	s

        Vehicle ID:	p1B3HB48B47D58243
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2007/11/15
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1B3HB48B67D15932
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2015/12/17
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B3HB48B67D35176
        Make/Model:	Ford  Mustang
   Last Inspection:	2006/4/22
    Current Status:	a

        Vehicle ID:	c1B3HB48B67D55685
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2016/1/28
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1B3HB48B78D50293
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2013/8/24
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	i1B3HB48B97D59450
        Make/Model:	Dodge Demon
   Last Inspection:	2014/5/14
    Current Status:	a

        Vehicle ID:	c1B3HB48B98D70837
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2007/3/11
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	i1B3HB48BX8D67402
        Make/Model:	Dodge Journey
   Last Inspection:	2012/5/10
    Current Status:	m

        Vehicle ID:	p1B3HB68F68D72254
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2014/12/13
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B3HB78K17D16746
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2009/10/4
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	p1B3HB78K87D27363
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2006/5/27
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	i1B3HB78KX7D27567
        Make/Model:	Ford  Mustang
   Last Inspection:	2017/5/18
    Current Status:	s

        Vehicle ID:	p1B3HE78K57D54553
        Make/Model:	Ford  Transit Connect
   Last Inspection:	2009/10/5
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1B3HE78K87D28341
        Make/Model:	Ford  Focus
   Last Inspection:	2009/2/19
    Current Status:	s

        Vehicle ID:	c1B3JB48B07D50365
        Make/Model:	Chevrolet Cargo Express
   Last Inspection:	2010/12/8
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	p1B3LC46B29N51477
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2012/1/25
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B3LC46B59N56373
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2010/11/17
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B3LC46D39N55995
        Make/Model:	Ford  F 250
   Last Inspection:	2017/2/9
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1B3LC46K28N25109
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2008/4/12
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B3LC46K68N17616
        Make/Model:	Dodge Demon
   Last Inspection:	2017/8/18
    Current Status:	s

        Vehicle ID:	i1B3LC46K78N25120
        Make/Model:	Dodge Journey
   Last Inspection:	2017/11/1
    Current Status:	s

        Vehicle ID:	c1B3LC46K78N66389
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/2/14
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1B3LC46K88N12576
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2006/7/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B3LC46K88N58529
        Make/Model:	Dodge Demon
   Last Inspection:	2013/5/1
    Current Status:	s

        Vehicle ID:	p1B3LC46K98N19032
        Make/Model:	GMC Thomas Minotour
   Last Inspection:	2011/11/26
    Current Status:	s
   Max. Passengers:	14

        Vehicle ID:	p1B3LC46KX8N57552
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2009/7/28
    Current Status:	a
   Max. Passengers:	7

        Vehicle ID:	c1B3LC46KZ8N57723
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/9/17
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1B3LC46R28N23153
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/3/21
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B3LC56B79N54931
        Make/Model:	Dodge Demon
   Last Inspection:	2016/7/21
    Current Status:	s

        Vehicle ID:	i1B3LC56D39N53907
        Make/Model:	Ford  Mustang
   Last Inspection:	2007/6/14
    Current Status:	s

        Vehicle ID:	p1B3LC56J38N26819
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2017/4/11
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B3LC56J58N21791
        Make/Model:	Freightliner CT Coachworks
   Last Inspection:	2017/12/6
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	p1B3LC56K18N19920
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2017/11/9
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1B3LC56K18N69096
        Make/Model:	Temsa TS45
   Last Inspection:	2008/1/22
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	c1B3LC56K78N69038
        Make/Model:	Ford  F 250
   Last Inspection:	2013/4/25
    Current Status:	m
      Max. Payload:	1.9 tons

        Vehicle ID:	c1B3LC56K88N11148
        Make/Model:	Ford  Super Duty 450 XL
   Last Inspection:	2008/4/13
    Current Status:	m
      Max. Payload:	3.82 tons

        Vehicle ID:	i1B3LC56R28N12826
        Make/Model:	Dodge Demon
   Last Inspection:	2015/5/12
    Current Status:	s

        Vehicle ID:	i1B3LC56R78N10162
        Make/Model:	Chevrolet Impala
   Last Inspection:	2010/9/22
    Current Status:	s

        Vehicle ID:	i1B3LC56RX8N10479
        Make/Model:	Ford  Mustang
   Last Inspection:	2007/2/12
    Current Status:	a

        Vehicle ID:	c1B3LC56V29N55446
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2006/7/27
    Current Status:	m
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B3LC76M28N64918
        Make/Model:	Dodge Demon
   Last Inspection:	2009/12/1
    Current Status:	s

        Vehicle ID:	c1B3LC76M48N63812
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2014/8/17
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B3LC76M98N65943
        Make/Model:	Ford  Focus
   Last Inspection:	2006/4/5
    Current Status:	s

        Vehicle ID:	i1B3LD76M48N14685
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/7/13
    Current Status:	s

        Vehicle ID:	c1B3LD76M88N63674
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2011/3/1
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p1B4FK44R1LX21235
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2007/7/3
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B4GP15B02B61600
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2010/11/24
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B4GP15B12B61057
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2007/6/8
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	p1B4GP25311B25268
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2013/3/10
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B4GP25312B61066
        Make/Model:	Ford  Transit Connect
   Last Inspection:	2010/11/11
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	i1B4GP25332B57656
        Make/Model:	Ford  Mustang
   Last Inspection:	2013/6/3
    Current Status:	m

        Vehicle ID:	c1B4GP25332B64748
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2008/10/24
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	p1B4GP25361B15872
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2009/7/28
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B4GP25371B22101
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2009/7/5
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B4GP25381B26883
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2012/3/18
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B4GP25382B62663
        Make/Model:	Dodge Demon
   Last Inspection:	2007/8/5
    Current Status:	s

        Vehicle ID:	p1B4GP25392B54961
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2013/3/8
    Current Status:	m
   Max. Passengers:	15

        Vehicle ID:	p1B4GP25392B58094
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2014/9/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B4GP25B22B50276
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2010/4/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B4GP44322B56552
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2016/10/20
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B4GP44342B62074
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2011/1/26
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B4GP44342B68879
        Make/Model:	Dodge Demon
   Last Inspection:	2017/8/4
    Current Status:	s

        Vehicle ID:	i1B4GP44362B62499
        Make/Model:	Dodge Demon
   Last Inspection:	2017/7/7
    Current Status:	s

        Vehicle ID:	p1B4GP44372B63691
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2011/9/4
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1B4GP443X2B71080
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2010/7/20
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1B4GP44G1WB55603
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2011/4/3
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B4GP44G2YB64131
        Make/Model:	Chevrolet Impala
   Last Inspection:	2010/10/3
    Current Status:	s

        Vehicle ID:	p1B4GP44G6YB51910
        Make/Model:	Temsa TS45
   Last Inspection:	2016/5/11
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	p1B4GP44G7XB59894
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2010/1/9
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B4GP44LXWB75939
        Make/Model:	Chevrolet Impala
   Last Inspection:	2011/7/12
    Current Status:	s

        Vehicle ID:	c1B4GP44R3YB74559
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2011/8/27
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1B4GP44R7YB55819
        Make/Model:	Ford  F 250
   Last Inspection:	2015/2/3
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	i1B4GP45311B16383
        Make/Model:	Ford  Explorer
   Last Inspection:	2006/2/12
    Current Status:	s

        Vehicle ID:	c1B4GP45311B16383
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2009/3/7
    Current Status:	a
      Max. Payload:	2.88 tons

        Vehicle ID:	p1B4GP45G7WB52091
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2016/1/24
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B4GP45L9XB51481
        Make/Model:	Ford  Explorer
   Last Inspection:	2017/6/28
    Current Status:	a

        Vehicle ID:	p1B4GP54L2YB66378
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2012/7/21
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B4GP54R0TB12391
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2011/2/23
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	i1B4GP54R2VB46635
        Make/Model:	Ford  Mustang
   Last Inspection:	2017/2/2
    Current Status:	s

        Vehicle ID:	c1B4GP55L5WB56201
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2013/2/7
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1B4GT54L8XB86022
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2012/3/4
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1B4HR28YOXF57890
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2006/4/10
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B4HS28N0YF15699
        Make/Model:	Chevrolet Impala
   Last Inspection:	2011/4/8
    Current Status:	s

        Vehicle ID:	c1B4HS28N3YF23827
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2009/7/12
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	c1B4HS28N4YF14708
        Make/Model:	Ford  Super Duty 350 XL
   Last Inspection:	2013/3/1
    Current Status:	s
      Max. Payload:	3.82 tons

        Vehicle ID:	p1B4HS28N5YF11998
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2012/9/9
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	p1B4HS28N71F50966
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2007/3/15
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	i1B4HS28N91F56689
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2009/10/6
    Current Status:	s

        Vehicle ID:	c1B4HS28N91F57278
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2015/11/24
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B4HS28N9YF21858
        Make/Model:	Ford  Mustang
   Last Inspection:	2014/3/22
    Current Status:	s

        Vehicle ID:	i1B4HS28Y2XF58346
        Make/Model:	Dodge Charger
   Last Inspection:	2007/4/23
    Current Status:	s

        Vehicle ID:	p1B4HS28Y2XF66477
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2016/3/15
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	c1B4HS28Y3XF51306
        Make/Model:	Ford  F 250
   Last Inspection:	2012/2/9
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	c1B4HS28Z11F55370
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2016/8/21
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B4HS28Z1YF20392
        Make/Model:	Ford  Mustang
   Last Inspection:	2007/8/8
    Current Status:	a

        Vehicle ID:	p1B4HS28Z2YF19339
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2016/12/24
    Current Status:	a
   Max. Passengers:	15

        Vehicle ID:	p1B4HS28Z3YF11940
        Make/Model:	Dodge Grand Caravan
   Last Inspection:	2010/1/19
    Current Status:	s
   Max. Passengers:	7

        Vehicle ID:	c1B4HS28Z4XF71242
        Make/Model:	Ford  F 250
   Last Inspection:	2007/4/10
    Current Status:	a
      Max. Payload:	1.9 tons

        Vehicle ID:	i1B4HS28Z4YF15165
        Make/Model:	Chevrolet Malibu
   Last Inspection:	2008/2/18
    Current Status:	m

        Vehicle ID:	c1B4HS28Z9XF50403
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2015/10/21
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B4HS28ZXXF53514
        Make/Model:	Dodge Demon
   Last Inspection:	2008/7/1
    Current Status:	s

        Vehicle ID:	c1B4HS38N62F18323
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2009/7/18
    Current Status:	a
      Max. Payload:	2.88 tons

        Vehicle ID:	i1B4HS38N72F11021
        Make/Model:	Dodge Charger
   Last Inspection:	2014/5/15
    Current Status:	m

        Vehicle ID:	p1B4HS48N52F19517
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2015/8/18
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B7EN14C2HS52726
        Make/Model:	Ford  Focus
   Last Inspection:	2017/3/9
    Current Status:	s

        Vehicle ID:	i1B7FL16X42S61296
        Make/Model:	Ford  Mustang
   Last Inspection:	2011/7/19
    Current Status:	s

        Vehicle ID:	c1B7FL16X92S65158
        Make/Model:	Ford  F 250
   Last Inspection:	2008/12/26
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1B7FL23X3NS66635
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2009/6/9
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B7FL26P8WS76300
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/5/19
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B7FL26P9TS61356
        Make/Model:	Dodge Demon
   Last Inspection:	2015/2/27
    Current Status:	s

        Vehicle ID:	i1B7FL26X1XS10088
        Make/Model:	Ford  Focus
   Last Inspection:	2017/7/4
    Current Status:	s

        Vehicle ID:	p1B7FL26X3MS21199
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2013/7/21
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B7FL26X4YS54068
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2010/1/20
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B7FL26X5LS73321
        Make/Model:	Ford  F 250
   Last Inspection:	2008/9/23
    Current Status:	s
      Max. Payload:	1.9 tons

        Vehicle ID:	p1B7FL26X5RW12336
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2014/2/25
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B7FL26X5XS11596
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2010/10/14
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	c1B7FL26X5YS68488
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2007/12/17
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	c1B7FL26X7WS63873
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2015/5/18
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B7FL26X9XS10955
        Make/Model:	Dodge Journey
   Last Inspection:	2010/9/5
    Current Status:	s

        Vehicle ID:	p1B7FL26XXVS14552
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2007/6/27
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	p1B7FL36XX2S54009
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2014/7/28
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	i1B7GG22N4YS50872
        Make/Model:	Dodge Demon
   Last Inspection:	2012/2/6
    Current Status:	s

        Vehicle ID:	c1B7GG22N7YS56129
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2013/10/27
    Current Status:	s
      Max. Payload:	2.88 tons

        Vehicle ID:	c1B7GG22X3XS18666
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/10/8
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	p1B7GG22X51S13532
        Make/Model:	Freightliner CT Coachworks
   Last Inspection:	2012/7/26
    Current Status:	a
   Max. Passengers:	56

        Vehicle ID:	i1B7GG22X9YS54572
        Make/Model:	Chevrolet Impala
   Last Inspection:	2011/10/12
    Current Status:	s

        Vehicle ID:	p1B7GG22XXWS53659
        Make/Model:	Chevrolet Express Passenger
   Last Inspection:	2006/1/25
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B7GG22Y9XS14857
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2007/11/18
    Current Status:	a
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B7GG23X2SW95196
        Make/Model:	Ford  Mustang
   Last Inspection:	2014/5/5
    Current Status:	s

        Vehicle ID:	c1B7GG23X2SW95196
        Make/Model:	Chevrolet Silverado 3500
   Last Inspection:	2013/11/4
    Current Status:	m
      Max. Payload:	2.88 tons

        Vehicle ID:	c1B7GG23X4SS17235
        Make/Model:	Ford  F 150
   Last Inspection:	2007/4/5
    Current Status:	a
      Max. Payload:	3.04 tons

        Vehicle ID:	c1B7GG23X9VS13827
        Make/Model:	Dodge Ram 2500
   Last Inspection:	2017/4/6
    Current Status:	s
      Max. Payload:	1.53 tons

        Vehicle ID:	i1B7GG23Y0SS19686
        Make/Model:	Dodge Demon
   Last Inspection:	2011/7/28
    Current Status:	s

        Vehicle ID:	p1B7GG23Y3SS34529
        Make/Model:	Ford  XL Passenger
   Last Inspection:	2016/10/12
    Current Status:	s
   Max. Passengers:	15

        Vehicle ID:	c1B7GG23Y8PS18935
        Make/Model:	Ford  Transit 350HD
   Last Inspection:	2017/5/3
    Current Status:	s
      Max. Payload:	2.33 tons

        Vehicle ID:	i1B7GG23YXSS35792
        Make/Model:	Dodge Charger
   Last Inspection:	2009/3/18
    Current Status:	s

        Vehicle ID:	i1B7GG36X02S52345
        Make/Model:	Dodge Demon
   Last Inspection:	2010/2/22
    Current Status:	s

        Vehicle ID:	p1B7GG42N02S61595
        Make/Model:	Freightliner CT Coachworks
   Last Inspection:	2006/3/16
    Current Status:	s
   Max. Passengers:	56

        Vehicle ID:	p1B7GG42N62S52558
        Make/Model:	International IC-RE
   Last Inspection:	2015/7/10
    Current Status:	s
   Max. Passengers:	84

        Vehicle ID:	i1B7GL12X42S65849
        Make/Model:	Dodge Demon
